epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, e_mae, e_rmse
   26,     4,          0.83237,          0.38303,          0.14978,          0.33382,          0.51389,          0.12437,          0.12457
   27,     1,            1.004,          0.70681,         0.099072,          0.41853,          0.69808,         0.082262,          0.09897
   27,     2,          0.85253,          0.55698,         0.098518,          0.37437,          0.61968,           0.0818,         0.087345
   27,     3,          0.99435,          0.50164,          0.16424,          0.34824,          0.58809,          0.13637,          0.15157
   27,     4,            1.163,          0.47196,          0.23035,           0.3846,          0.57043,          0.19127,          0.19232
   28,     1,          0.97391,           0.3935,          0.19347,          0.33143,          0.52087,          0.16064,          0.16318
   28,     2,          0.91555,          0.63162,         0.094643,           0.4023,           0.6599,         0.078585,          0.09384
   28,     3,          0.85088,           0.5376,          0.10443,          0.36546,          0.60881,         0.086708,          0.11162
   28,     4,           1.0706,          0.70584,          0.12157,          0.42569,           0.6976,          0.10095,          0.10854
   29,     1,          0.65842,           0.4319,         0.075508,          0.35822,          0.54568,         0.062698,         0.070353
   29,     2,          0.58634,           0.4875,         0.032948,          0.36385,          0.57975,         0.027355,         0.036325
   29,     3,          0.86745,          0.54183,          0.10854,          0.37538,           0.6112,          0.09012,           0.1083
   29,     4,           1.1121,          0.83136,          0.09359,          0.44588,          0.75709,         0.077713,         0.083012
   30,     1,          0.65971,          0.35753,          0.10073,          0.33761,          0.49648,         0.083639,          0.12836
   30,     2,           0.8338,           0.5742,         0.086533,          0.40031,          0.62919,         0.071848,          0.08738
   30,     3,          0.60336,          0.45346,         0.049965,          0.33693,          0.55914,         0.041487,         0.061036
   30,     4,           1.0144,          0.64984,          0.12151,          0.40613,          0.66935,          0.10088,          0.10838
   31,     1,          0.67465,          0.46856,         0.068699,          0.35195,          0.56837,         0.057041,         0.064543
   31,     2,          0.65665,          0.51857,         0.046028,          0.37299,          0.59793,         0.038221,         0.041095
   31,     3,          0.61962,          0.40608,         0.071182,           0.3554,          0.52912,         0.059105,         0.064795
   31,     4,          0.53267,           0.3006,         0.077354,          0.29483,          0.45525,         0.064236,         0.064971
   32,     1,             1.03,          0.45937,          0.19022,          0.36377,          0.56277,          0.15795,          0.19996
   32,     2,          0.63621,          0.29548,          0.11357,          0.29368,          0.45136,         0.094303,          0.10287
   32,     3,          0.87403,          0.44127,          0.14425,          0.36866,          0.55157,          0.11978,          0.13728
   32,     4,           0.6454,          0.51512,         0.043427,          0.37951,          0.59595,         0.036053,         0.036126
   33,     1,          0.28429,          0.24637,         0.012638,          0.28736,          0.41214,         0.010494,         0.013814
   33,     2,          0.79699,          0.48055,          0.10548,          0.36825,           0.5756,         0.087582,         0.095023
   33,     3,           0.6653,          0.42809,         0.079067,           0.3622,          0.54328,         0.065653,         0.075983
   33,     4,          0.53137,          0.49093,         0.013481,          0.37729,          0.58178,           0.0112,         0.011575
   34,     1,          0.63915,           0.2989,          0.11341,          0.31363,          0.45396,         0.094175,         0.095391
   34,     2,          0.71496,          0.30798,          0.13566,          0.31942,           0.4608,          0.11264,          0.11667
   34,     3,           1.1614,          0.66038,            0.167,          0.42149,          0.67476,          0.13867,          0.16758
   34,     4,          0.48093,          0.29886,         0.060692,          0.29827,          0.45392,         0.050396,         0.053712
   35,     1,          0.50435,          0.34528,         0.053024,          0.33098,           0.4879,         0.044025,         0.045885
   35,     2,          0.85266,          0.47782,          0.12495,          0.35091,          0.57396,          0.10375,          0.10509
   35,     3,           1.2839,          0.29632,          0.32921,          0.31209,          0.45199,          0.27335,          0.27398
   35,     4,           1.3447,          0.32863,           0.3387,          0.31675,            0.476,          0.28123,           0.2832
   36,     1,          0.94304,          0.36237,          0.19356,          0.32494,          0.49983,          0.16072,          0.16912
   36,     2,          0.66747,          0.36171,          0.10192,           0.3274,          0.49938,         0.084631,         0.092109
   36,     3,          0.90011,          0.40427,          0.16528,          0.34718,          0.52794,          0.13723,          0.14229
   36,     4,          0.78132,          0.18586,          0.19849,          0.26656,          0.35797,          0.16481,          0.16502
   37,     1,          0.73312,          0.43987,         0.097748,          0.35759,           0.5507,         0.081165,          0.10138
   37,     2,          0.80992,          0.32383,          0.16203,          0.30957,          0.47251,          0.13454,          0.15034
   37,     3,          0.78738,           0.4392,          0.11606,          0.35541,          0.55028,         0.096365,          0.11128
   37,     4,          0.30408,          0.19276,         0.037109,          0.25401,          0.36455,         0.030815,         0.031548
   38,     1,          0.46622,          0.33278,         0.044479,          0.31776,          0.47899,          0.03693,         0.040029
   38,     2,            0.523,          0.37125,         0.050583,           0.3319,          0.50592,            0.042,         0.046083
   38,     3,           0.4938,           0.3405,         0.051098,          0.31905,          0.48452,         0.042429,         0.046107
   38,     4,           1.0926,          0.43413,          0.21951,          0.36447,          0.54709,          0.18226,          0.21164
   39,     1,          0.78123,          0.39743,          0.12793,          0.34139,          0.52346,          0.10622,          0.10772
   39,     2,          0.70646,          0.38144,          0.10834,          0.34175,          0.51282,         0.089958,          0.12334
   39,     3,          0.68095,          0.37005,          0.10363,           0.3264,           0.5051,          0.08605,         0.095215
   39,     4,          0.92255,            0.314,          0.20285,          0.31842,          0.46528,          0.16843,          0.16848
   40,     1,          0.84088,          0.18517,          0.21857,          0.25525,           0.3573,          0.18149,          0.18221
   40,     2,          0.88822,          0.44092,           0.1491,          0.36286,          0.55135,           0.1238,          0.12554
   40,     3,          0.56573,          0.37486,         0.063625,          0.33974,          0.50837,          0.05283,         0.063022
   40,     4,          0.85368,          0.45842,          0.13175,           0.3758,          0.56219,           0.1094,           0.1119
   41,     1,          0.60877,          0.32023,          0.09618,           0.3063,          0.46987,         0.079861,          0.08512
   41,     2,          0.51435,            0.342,         0.057449,          0.32069,          0.48559,         0.047701,         0.054976
   41,     3,           1.0747,          0.44318,          0.21051,          0.36495,          0.55276,           0.1748,          0.19582
   41,     4,          0.23581,          0.20235,         0.011154,          0.25926,          0.37351,        0.0092621,         0.010194
   42,     1,          0.67233,          0.32108,          0.11708,           0.3223,           0.4705,         0.097218,          0.11435
   42,     2,          0.37788,          0.25369,         0.041397,          0.28566,          0.41821,         0.034376,          0.04378
   42,     3,          0.56032,          0.35595,         0.068123,           0.3166,          0.49539,         0.056564,         0.060505
   42,     4,          0.60747,           0.4725,         0.044991,          0.36184,          0.57076,         0.037354,         0.044923
   43,     1,          0.70626,          0.46989,         0.078789,          0.36401,          0.56918,         0.065426,         0.089825
   43,     2,          0.46114,          0.27721,          0.06131,           0.2939,          0.43717,         0.050905,         0.061059
   43,     3,          0.53935,          0.21934,          0.10667,          0.27206,          0.38888,          0.08857,         0.090884
   43,     4,          0.86933,          0.25545,          0.20463,          0.28863,          0.41967,          0.16991,          0.17114
   44,     1,           0.6047,          0.22272,          0.12733,          0.28145,          0.39186,          0.10572,          0.10854
   44,     2,          0.68055,          0.48227,         0.066093,          0.37458,          0.57663,         0.054878,         0.056498
   44,     3,          0.80781,          0.27825,          0.17652,          0.28244,          0.43799,          0.14657,          0.14931
   44,     4,           1.2186,          0.20386,          0.33823,          0.25532,           0.3749,          0.28085,          0.28092
