epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_e_mae,training_e_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_e_mae,validation_e_rmse
        50,  562.738,     0.01,          0.70595,          0.10169,            1.011,        0.308,        0.683,       0.0768,       0.0919,          0.89775,         0.088181,           1.1623,        0.349,        0.808,       0.0752,       0.0757
        51,  573.733,     0.01,          0.60204,          0.10398,          0.91399,        0.303,         0.67,       0.0817,       0.0952,          0.90016,         0.037735,           1.0134,         0.35,        0.809,       0.0322,       0.0335
        52,  584.906,     0.01,          0.64689,           0.1022,          0.95351,        0.304,        0.668,       0.0808,       0.0922,          0.89065,         0.025318,          0.96661,         0.35,        0.804,       0.0216,       0.0244
        53,  596.054,     0.01,          0.63159,          0.07613,          0.85998,        0.305,         0.67,       0.0645,       0.0797,          0.86104,         0.058315,            1.036,        0.346,        0.791,       0.0497,       0.0518
        54,  607.227,     0.01,           0.5402,         0.068024,          0.74427,        0.299,        0.655,       0.0534,       0.0646,          0.83138,          0.02824,          0.91611,        0.344,        0.777,       0.0241,       0.0291
        55,  618.550,     0.01,          0.56944,         0.082659,          0.81741,        0.294,        0.635,       0.0652,       0.0835,          0.82954,          0.13201,           1.2256,        0.348,        0.776,        0.113,        0.114
        56,  629.755,     0.01,          0.60521,         0.099598,          0.90401,        0.295,        0.635,       0.0935,        0.116,          0.79766,         0.022221,          0.86432,        0.341,        0.761,       0.0189,       0.0194
        57,  640.917,     0.01,          0.47968,         0.088002,          0.74369,         0.29,        0.623,        0.069,       0.0828,          0.79591,         0.021961,           0.8618,        0.339,         0.76,       0.0187,       0.0197
        58,  652.103,     0.01,          0.54427,          0.04266,          0.67226,         0.29,        0.627,       0.0394,       0.0542,          0.80128,         0.027672,           0.8843,         0.34,        0.763,       0.0236,       0.0302
        59,  663.148,     0.01,          0.60213,          0.10357,          0.91284,        0.292,        0.628,       0.0874,       0.0975,          0.76991,         0.025047,          0.84505,        0.336,        0.748,       0.0214,        0.022
        60,  674.213,     0.01,          0.52364,         0.065765,          0.72093,        0.284,        0.609,       0.0549,       0.0629,          0.71767,         0.031433,          0.81197,         0.33,        0.722,       0.0268,       0.0369
        61,  685.447,     0.01,          0.43621,         0.058196,           0.6108,        0.277,        0.591,         0.05,       0.0612,          0.70339,         0.028709,          0.78952,        0.325,        0.715,       0.0245,       0.0301
        62,  696.773,     0.01,          0.43226,         0.061529,          0.61685,        0.275,        0.588,       0.0479,        0.057,          0.67001,           0.1162,           1.0186,        0.319,        0.698,        0.099,        0.102
        63,  707.843,     0.01,           0.4593,         0.084222,          0.71196,        0.269,        0.575,       0.0716,       0.0859,          0.67605,         0.064919,           0.8708,         0.32,        0.701,       0.0553,       0.0606
        64,  718.856,     0.01,          0.51751,         0.096217,          0.80616,        0.273,         0.58,       0.0782,        0.111,          0.62712,          0.20021,           1.2278,        0.312,        0.675,        0.171,        0.173
        65,  730.153,     0.01,           0.3762,          0.15315,          0.83567,        0.262,        0.553,        0.137,        0.155,          0.64314,           0.1117,          0.97824,         0.32,        0.684,       0.0952,       0.0994
        66,  741.336,     0.01,           0.4476,          0.10617,          0.76611,        0.264,        0.553,       0.0876,          0.1,          0.58424,         0.041687,           0.7093,        0.316,        0.652,       0.0355,       0.0428
        67,  752.603,     0.01,          0.43364,          0.19612,            1.022,        0.268,        0.548,        0.166,         0.18,          0.59333,         0.057426,          0.76561,        0.312,        0.657,       0.0489,       0.0575
        68,  763.953,     0.01,          0.40041,         0.060411,          0.58164,         0.26,        0.542,       0.0568,       0.0744,          0.61326,         0.028034,          0.69737,        0.307,        0.667,       0.0239,       0.0304
        69,  775.243,     0.01,          0.39316,         0.074711,          0.61729,        0.259,        0.548,       0.0609,        0.071,          0.62404,         0.052212,          0.78067,        0.309,        0.673,       0.0445,       0.0507
        70,  786.297,     0.01,          0.38531,          0.14992,          0.83507,        0.256,         0.54,        0.116,        0.151,          0.55653,          0.23202,           1.2526,        0.297,        0.636,        0.198,          0.2
        71,  797.360,     0.01,          0.41636,          0.18681,          0.97678,        0.256,        0.544,        0.142,         0.18,           0.6135,           0.1884,           1.1787,        0.308,        0.668,        0.161,        0.163
        72,  808.298,     0.01,          0.41637,          0.25773,           1.1896,        0.253,        0.527,        0.196,        0.234,          0.49911,          0.33551,           1.5056,        0.286,        0.602,        0.286,        0.289
        73,  819.083,     0.01,          0.34889,          0.23048,           1.0403,        0.251,        0.518,        0.196,        0.221,          0.62023,          0.23446,           1.3236,        0.314,        0.671,          0.2,        0.203
        74,  829.838,     0.01,           0.3902,          0.17693,          0.92097,        0.259,        0.547,        0.147,         0.16,          0.55509,          0.28517,           1.4106,        0.298,        0.635,        0.243,        0.246
        75,  840.644,     0.01,          0.36974,          0.16865,           0.8757,        0.255,        0.534,        0.156,        0.181,          0.64999,         0.061211,          0.83362,        0.316,        0.687,       0.0522,       0.0599
        76,  851.379,     0.01,          0.42582,         0.088343,          0.69085,        0.264,        0.558,       0.0818,        0.111,          0.59522,          0.27036,           1.4063,        0.306,        0.658,         0.23,        0.233
        77,  862.175,     0.01,          0.41845,          0.19279,          0.99684,        0.258,        0.542,        0.182,        0.196,          0.63694,          0.03706,          0.74812,        0.313,         0.68,       0.0316,       0.0383
        78,  872.967,     0.01,          0.44552,          0.09476,           0.7298,        0.262,        0.554,       0.0838,       0.0914,          0.60139,         0.070152,          0.81185,        0.306,        0.661,       0.0598,        0.068
        79,  883.748,     0.01,          0.39275,          0.10543,          0.70904,        0.258,         0.54,       0.0949,        0.127,          0.60973,          0.03286,          0.70831,        0.307,        0.666,        0.028,       0.0281
        80,  894.514,     0.01,          0.40718,         0.082449,          0.65452,        0.257,        0.542,       0.0706,       0.0822,          0.61388,          0.09341,          0.89411,        0.305,        0.668,       0.0796,       0.0837
        81,  905.245,     0.01,          0.41585,         0.070147,          0.62629,        0.259,        0.548,       0.0613,       0.0727,          0.64079,         0.082733,          0.88899,        0.311,        0.682,       0.0705,       0.0745
        82,  916.033,     0.01,          0.40905,          0.11571,          0.75619,        0.255,         0.54,       0.0901,        0.104,          0.56682,          0.14745,           1.0092,        0.299,        0.642,        0.126,        0.129
        83,  926.814,     0.01,          0.38598,          0.12588,          0.76362,        0.253,        0.523,       0.0986,        0.112,           0.5907,          0.14165,           1.0157,        0.309,        0.655,        0.121,        0.125
        84,  937.545,     0.01,          0.32924,          0.10495,           0.6441,        0.252,        0.517,       0.0909,         0.11,          0.53425,         0.090935,          0.80706,        0.297,        0.623,       0.0775,       0.0866
        85,  948.133,     0.01,          0.38911,          0.14226,           0.8159,        0.251,        0.517,        0.113,        0.127,          0.56974,           0.1325,          0.96723,        0.306,        0.643,        0.113,         0.12
        86,  959.719,     0.01,           0.3413,          0.11193,          0.67709,         0.25,        0.515,       0.0992,        0.114,          0.55281,         0.048542,          0.69844,        0.301,        0.634,       0.0414,       0.0419
        87,  970.461,     0.01,          0.36348,          0.10725,          0.68522,        0.252,        0.524,        0.091,        0.111,          0.52801,          0.11447,          0.87142,        0.296,        0.619,       0.0976,        0.106
        88,  981.252,     0.01,          0.33909,          0.16528,          0.83493,        0.245,        0.505,        0.144,        0.155,          0.54973,          0.06781,          0.75316,        0.301,        0.632,       0.0578,        0.072
